"","cm_all.overall","cm_econ.overall","cm_demo.overall","cm_land.overall","cm_bus.overall"
"Accuracy",0.714959159859977,0.607607934655776,0.592392065344224,0.675939323220537,0.612742123687281
"Kappa",0.365485631811768,0.180206613904802,0.197312723762704,0.275302450510247,0.201506960272777
"AccuracyLower",0.708862141731078,0.601032136203966,0.585776743023281,0.669625505134068,0.606181156966483
"AccuracyUpper",0.720997807206309,0.614154524057572,0.598982309548496,0.682205374707218,0.619272487393884
"AccuracyNull",0.78291715285881,0.78291715285881,0.78291715285881,0.78291715285881,0.78291715285881
"AccuracyPValue",1,1,1,1,1
"McnemarPValue",0,0,0,0,0
"Sensitivity",0.694586860617623,0.592822224871825,0.550196733039227,0.671992369142721,0.588947180159771
"Specificity",0.78843259514083,0.660933132659643,0.7445710599871,0.690174156095463,0.698559449580735
"Pos Pred Value",0.922121092204195,0.863119520874924,0.885955649419219,0.886651459136317,0.875720237567591
"Neg Pred Value",0.417178612059158,0.310379644588045,0.314589389534884,0.368457300275482,0.32028785488959
"Precision",0.922121092204195,0.863119520874924,0.885955649419219,0.886651459136317,0.875720237567592
"Recall",0.694586860617623,0.592822224871825,0.550196733039227,0.671992369142721,0.588947180159771
"F1",0.792342480193138,0.702880367556105,0.678827553234526,0.764540305897514,0.704259490286936
"Prevalence",0.78291715285881,0.78291715285881,0.78291715285881,0.78291715285881,0.78291715285881
"Detection Rate",0.543803967327888,0.464130688448075,0.430758459743291,0.526114352392065,0.461096849474912
"Detection Prevalence",0.589731621936989,0.537736289381564,0.486207701283547,0.593372228704784,0.526534422403734
"Balanced Accuracy",0.741509727879226,0.626877678765734,0.647383896513164,0.681083262619092,0.643753314870253
"auc",0.810604416224319,0.663084380750512,0.705986124054702,0.741700144255258,0.674081725983099
