Metric,Overall,Economic,Demographic,Land Use,Business
Accuracy,0.71495916,0.607607935,0.592392065,0.675939323,0.612742124
Kappa,0.365485632,0.180206614,0.197312724,0.275302451,0.20150696
Sensitivity,0.694586861,0.592822225,0.550196733,0.671992369,0.58894718
Specificity,0.788432595,0.660933133,0.74457106,0.690174156,0.69855945
Pos Pred Value,0.922121092,0.863119521,0.885955649,0.886651459,0.875720238
Neg Pred Value,0.417178612,0.310379645,0.31458939,0.3684573,0.320287855
Precision,0.922121092,0.863119521,0.885955649,0.886651459,0.875720238
Recall,0.694586861,0.592822225,0.550196733,0.671992369,0.58894718
F1,0.79234248,0.702880368,0.678827553,0.764540306,0.70425949
Prevalence,0.782917153,0.782917153,0.782917153,0.782917153,0.782917153
Detection Rate,0.543803967,0.464130688,0.43075846,0.526114352,0.461096849
Detection Prevalence,0.589731622,0.537736289,0.486207701,0.593372229,0.526534422
Balanced Accuracy,0.741509728,0.626877679,0.647383897,0.681083263,0.643753315
auc,0.810604416,0.663084381,0.705986124,0.741700144,0.674081726
